관측소코드,관측소명,행정구역코드,행정구역명,X좌표,Y좌표
65586,군포당정,4141051000,경기도군포시군포1동,208933.5168,402863.8759
87236,김포양촌,4157025600,경기도김포시양촌읍,266747.6916,434406.3847
84014,남양주별내,4136031000,경기도남양주시별내면,258642.0014,411324.0472
9871,동두천상패,4125060000,경기도동두천시상패동,353931.0239,484675.5106
84007,강릉연곡,4215037000,강원도강릉시연곡면,204816.9453,470565.9089
82004,강릉왕산,4215032000,강원도강릉시왕산면,223836.0483,506552.0641
9866,강릉홍제,4215051000,강원도강릉시홍제동,305610.419,525250.8636
73502,고성토성,4282033000,강원도고성군토성면,376428.1724,408989.2921
95515,인제남면,4281031000,강원도인제군남면,260606.934,184666.8195
95517,인제서화,4281034000,강원도인제군서화면,366061.3818,256702.6648
84011,인제인제,4281025000,강원도인제군인제읍,226070.838,141840.1165
9872,수원오목천,4111355000,경기도수원시권선구평동,263596.205,299213.9235
9874,시흥군자,4139058100,경기도시흥시군자동,372987.3568,291762.6083
95531,군위산성,4772036000,경상북도군위군산성면,188412.4977,443535.6893
9893,군위의흥,4772035000,경상북도군위군의흥면,191650.6449,406894.2268
95533,김천대덕,4715044000,경상북도김천시대덕면,275985.2582,397878.0615
241,대구비산,2717055000,대구광역시서구비산1동,302700.3037,435237.4763
9887,안동태화,4717060000,경상북도안동시태화동,245485.4187,337274.8683
87260,영덕달산,4777033000,경상북도영덕군달산면,432041.1656,284396.0975
65026,영덕영해,4777036000,경상북도영덕군영해면,174785.4647,371368.8957
65029,영양입암,4776031000,경상북도영양군입암면,326409.5961,386026.9414
65069,영주문정,4721062000,경상북도영주시가흥1동,187278.7626,314192.5034
11749,동해귀운,4217060000,강원도동해시북평동,184978.4209,441054.9482
84008,삼척마평,4223057000,강원도삼척시성내동,182724.9258,353990.5028
84009,삼척신기,4223036000,강원도삼척시신기면,247983.6643,314785.7197
73504,속초노학,4221057000,강원도속초시노학동,409882.2413,360347.6064
65025,양양손양,4283032000,강원도양양군손양면,226508.5136,359173.3316
73505,영월영월,4275025000,강원도영월군영월읍,168895.8575,379474.8929
11747,원주문막,4213025000,강원도원주시문막읍,153572.3686,213875.156
65064,양평개군,4183041000,경기도양평군개군면,369939.888,330519.1794
65066,양평양동,4183038000,경기도양평군양동면,181210.0758,291157.8574
95508,양평양서,4183033000,경기도양평군양서면,320246.8664,293665.2766
9876,양평용문,4183040000,경기도양평군용문면,192584.4289,310457.42
87240,여주점동,4167031000,경기도여주시점동면,265742.5115,308999.507
9877,여주여주,4167052000,경기도여주시중앙동,375179.194,369898.8055
87241,오산궐동,4137053000,경기도오산시남촌동,166375.4173,305953.1083
87243,용인남사,4146132000,경기도용인시처인구남사면,349277.6318,251879.033
11741,용인마평,4146154000,경기도용인시처인구동부동,339176.5993,266682.5287
65610,의정부신곡,4115056700,경기도의정부시신곡1동,190016.5596,132547.5265
11745,이천율현,4150052000,경기도이천시중리동,317507.5442,186597.3683
87244,파주문산,4148025000,경기도파주시문산읍,230096.0714,197725.7326
95510,평택안중,4122025300,경기도평택시안중읍,283575.2421,247735.0905
87245,평택진위,4122031000,경기도평택시진위면,184071.9191,229622.6378
11743,평택통복,4122061000,경기도평택시통복동,206170.1512,267409.8745
82007,정선동면,4277036000,강원도정선군화암면,227937.4689,178746.8898
95518,철원철원,4278025000,강원도철원군철원읍,387882.1359,237504.2793
9867,태백황지,4219051500,강원도태백시황지동,334757.8091,238139.6762
9869,평창대화,4276033000,강원도평창군대화면,350679.199,151485.4026
82012,평창봉평,4276034000,강원도평창군봉평면,198121.815,262736.8315
65587,평창진부,4276036000,강원도평창군진부면,202860.2493,151989.886
82015,홍천서석,4272034000,강원도홍천군서석면,358575.4379,239123.6184
